Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
anādiya	s		ger		na ādiyati	neg		trans	+acc	not taking	не беря		√ādā 3 ya (to take, seize)		na + √ādā + ya	ādā	ā√dā										SN 22.22	bhārasuttaṃ	“nikkhipitvā garuṃ bhāraṃ, aññaṃ bhāraṃ <b>anādiya</b>. samūlaṃ taṇham’abbuyha, nicchāto parinibbuto”ti. 	Bhārā	The Burdens	Verses							11n	-		5			
anādiyāna	n		prp		ādiyati	neg		trans	+acc	not taking up; not grasping; not accepting	не берущий; не хватающий; не принимающий		√ādā 3 ya (to take, seize)	√ādā + ya > ādiya (irreg)	na > an + ādiya + āna<br/>na + ādiyāna	na + ādāyamāna	ā√dā			Kacc 502, 493 (ādā > ādi)	SNP 43	paramaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 5	tass'īdha diṭṭhe va sute mute vā, pakappitā n'atthi aṇū'pi saññā,<br/>taṃ brāhmaṇaṃ diṭṭhim'<b>anādiyānaṃ</b>, ken'īdha lokasmiṃ vikappayeyya.																	anādiy	āna prp	5			
anādīnavadassāvī	p		adj	comp		neg				not seeing the danger in; not seeing the disadvantage of	не видящий опасность (в); не осознающий вред (от)				na > an + ādīnava + dassāvī	na + ādīnava + darśivas					MN 137	saḷāyatanavibhaṅgasuttaṃ	cakkhunā rūpaṃ disvā uppajjati upekkhā bālassa mūḷhassa puthujjanassa anodhijinassa avipākajinassa <b>anādīnavadassāvino</b> assutavato puthujjanassa.																	anādīnavadassāv	ī adj	5			
anānākathika	p		adj	comp		neg				not speaking on diverse topics	не говорящий на разные темы				na > an + nānā + kathika	na + nānā + kathika					AN 8.2	paññāsuttaṃ	saṅghagato kho pana <b>anānākathiko</b> hoti atiracchānakathiko. sāmaṃ vā dhammaṃ bhāsati, paraṃ vā ajjhesati, ariyaṃ vā tuṇhībhāvaṃ n'ātimaññati.																	anānākathik	a adj	5			
anānu	p		prefix			neg				(prefix)	(приставка)				na > an + anu	ananu					SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	yo attano sīlavatāni jantu, <b>anānu-</b>puṭṭho’va paresa pāva, <br/>anariyadhammaṃ kusalā tam’āhu, yo ātumānaṃ sayam’eva pāva.					prefixes												-		5			
anānugiddha	p		adj	pp	anugijjhati	neg				not greedy	не жадный		√gidh 3 ya (to be greedy)		na > an + anu + √gidh + ta	na + anugṛdh	√gṛdh			with metrically lengthened ā	SNP 40	guhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 2	ubhosu antesu vineyya chandaṃ, phassaṃ pariññāya <b>anānugiddho</b>,<br/>yad'attagarahī tad'akubbamāno, na lippatī diṭṭhasutesu dhīro.																	anānugiddh	a adj	5			
anānujānanta	n		prp		anujānāti	neg		trans	+acc	not accepting; not allowing; not permitting; not agreeing (with)	не принимающий; не позволяющий; не разрешающий; не соглашающийся (с)		√ñā 5 nā (to know)	√ñā + nā > jānā	na > an + anu + jānā + nta<br/>an + anujānanta	na + anujñā	√jñā				SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	parassa ce dhammam'<b>anānujānaṃ</b>, bālomako hoti nihīnapañño,<br/>sabb'eva bālā sunihīnapaññā, sabb'ev'ime diṭṭhiparibbasānā.																	anānujān	anta prp	5			
anānupuṭṭha	p		adj	pp	anupucchati	neg				unasked; unquestioned	не спрошенный; которого не просили		√pucch 1 a (to ask, question)		na > an + anu + √pucch + ta	anuprach	√prach		(SNPa) anānupuṭṭho'ti apucchito.		SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	yo attano sīlavatāni jantu, <b>anānupuṭṭho</b>'va paresa pāva,<br/>anariyadhammaṃ kusalā tam'āhu, yo ātumānaṃ sayam'eva pāva.																	anānupuṭṭh	a adj	5			
anāpattibahula	p		adj	comp		neg				who is not full of offences; who is not in the habit of offending	кто не полон проступков; кто не имеет обыкновения нарушать				na + āpatti + bahula						MN 65	bhaddālisuttaṃ	idha, bhaddāli, ekacco bhikkhu adhicc’āpattiko hoti <b>anāpattibahulo</b>.																	anāpattibahul	a adj	5			
anāpanna	ps		adj	pp	na āpajjati	neg			+acc	(of a monk) who has not committed; who has not fallen into (an offence)	(монах) который не совершил; не опустился до (нарушения)		√pad 3 ya (to go, step)		na + ā + √pad + na	āpanna	√pad				AN 4.244	āpattibhayasuttaṃ	tass’etaṃ pāṭikaṅkhaṃ — <b>anāpanno</b> vā pārājikaṃ dhammaṃ na āpajjissati, āpanno vā pārājikaṃ dhammaṃ yathādhammaṃ paṭikarissati.				PAT PK	dhammayuttika-pubbakicca	yāvatikā ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ <b>anāpannā</b> saṅghena vā anukkhittā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	anāpann	a adj	5			
anāpucchā	pp		ger		na āpucchati	neg		ditrans	+acc +acc	not asking; not informing; not taking leave	не спрашивая; не сообщая; не информируя об уходе		√pucch 1 a (to ask, question)		na + ā + √pucch + ya	na + āpṛcchya	√prach				VIN PAT PC 14	paṭhamasenāsana sikkhāpada	yo pana bhikkhu saṅghikaṃ mañcaṃ vā pīṭhaṃ vā bhisiṃ vā kocchaṃ vā ajjhokāse santharitvā vā santharāpetvā vā taṃ pakkamanto n'eva uddhareyya na uddharāpeyya <b>anāpucchā</b> vā gaccheyya, pācittiyaṃ.				VIN PAT PC 46	cāritta sikkhāpada	yo pana bhikkhu, nimantito sabhatto samāno, santaṃ bhikkhuṃ <b>anāpucchā</b>, purebhattaṃ vā pacchābhattaṃ vā kulesu cārittaṃ āpajjeyya											-		5			
anāyūha	p		adj		āyūhati					not exerting oneself; not pushing forward; not making an effort; not straining	не напрягающийся; не давящий вперед; который не тужится; кто не переутомляется		√yūh 1 a (to carry, bring)		na > an + ā + √yūh + a<br/>an + āyūha	anāyūha (bsk)	√ūh				SN 1.1	oghataraṇasuttaṃ	cirassaṃ vata passāmi,<br/>brāhmaṇaṃ parinibbutaṃ,<br/>appatiṭṭhaṃ <b>anāyūhaṃ</b>,<br/>tiṇṇaṃ loke visattikan'ti.																	anāyūh	a adj	5			
anāyūhanta	p		prp		āyūhati			intrans		not exerting oneself; not pushing forward; not making an effort; not straining	не напрягающийся; не давящий вперед; который не тужится; не переутомляется		√yūh 1 a (to carry, bring)	√yūh + a > yūha	na > an + ā + yūha + nta<br/>an + āyūhanta	na + āvah, anāyūha (bsk)	√ūh		(SNa) anāyūhan'ti anāyūhanto, avāyamanto'ti attho.		SN 1.1	oghataraṇasuttaṃ	kathaṃ nu tvaṃ, mārisa, ogham'atarī'ti? appatiṭṭhaṃ khv'āhaṃ, āvuso, <b>anāyūhaṃ</b> ogham'atarin'ti.																	anāyūh	anta prp	5			
anārambha 1	p		adj		na ārabhati	neg				free from injury; without harm (to living creatures); lit. without violence	без травм; без вреда (живым существам); досл. без насилия		√rabh 1 a (to be violent)	√rabh + a > rambha (irreg)	na + ā + rambha + a	anārambha	√rabh	anārabbha	(VIN a) sārambhaṃ anārambhan'ti saupaddavaṃ anupaddavaṃ.		VIN PAT SA 6	kuṭikāra sikkhāpada	bhikkhū abhinetabbā vatthu’desanāya. tehi bhikkhūhi vatthuṃ desetabbaṃ, <b>anārambhaṃ</b> saparikkamanaṃ.																	anārambh	a adj	5	11	148	
anārambha 2	p		masc		ārabhati	neg				non-activity; which has no karmic activity; epithet of Nibbāna; lit. not undertaking	отсутствие активности; отсутствие кармической деятельности; эпитет Ниббаны; досл. не предприятие		√rabh 1 a (to begin)	√rabh + a > rambha (irreg)	na > an + ā + rambha + a	anārambha	√rabh		(SNPa) <b>anārambhe vimuttino</b>'ti anārambhe nibbāne vimuttassa.		SNP 38	dvayatānupassanāsuttaṃ	etam'ādīnavaṃ ñatvā,<br/>dukkhaṃ ārambhapaccayā,<br/>sabb'ārambhaṃ paṭinissajja,<br/><b>anārambhe</b> vimuttino.																	anārambh	a masc	5			
anāriya	n		adj		ariya	neg				ignoble; vulgar; coarse	неблагородный; вульгарный; грубый				na > an + ariya	anārya					SNP 45	tissametteyyasuttaṃ<br/>aṭṭhakavaggo 7	methunam'anuyuttassa, mussate v'āpi sāsanaṃ,<br/>micchā ca paṭipajjati, etaṃ tasmiṃ <b>anāriyaṃ</b>.																	anāriy	a adj	5			
anālaya 1	s	2	masc		na allīyati	neg				independence; freedom from clinging; non-attachment	независимость; свобода от цепляния; не привязанность		√lī 3 ya (to stick, hide)		na + ā + √lī > lay + *a	anālayana	√lī																SN 56.11	dhammacakkappavattanasuttaṃ	idaṃ kho pana, bhikkhave, dukkhanirodhaṃ ariyasaccaṃ — yo tassā’y’eva taṇhāya asesavirāganirodho cāgo paṭinissaggo mutti <b>anālayo</b>.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	17n	anālay	a masc	5	2	115	
anāsakā	p		fem		āsa	neg				fasting; starvation; not eating food	пост; голодание; отказ от еды		√as 1 a (to eat)		na > an + ā + √as > ās + *a + kā<br/>anāsa + kā	anāśaka	√aś				DHP 141	daṇḍavaggo	na naggacariyā na jaṭā na paṅkā, na-<b>anāsakā</b> thaṇḍilasāyikā vā,<br/>rajojallaṃ ukkuṭikappadhānaṃ, sodhenti maccaṃ avitiṇṇakaṅkhaṃ.																	anāsak	ā fem	5			
anāsana	p		nt		na āsati	neg				unsuitable seat	неподходящее сидение		√ās 1 a (to sit)		na > an + √ās + ana	an + āsana	√ās				MN 2.6	sabbāsavasuttaṃ	yathārūpe <b>anāsane</b> nisinnaṃ yathārūpe agocare carantaṃ; yathārūpe pāpake mitte bhajantaṃ viññū sabrahmacārī pāpakesu ṭhānesu okappeyyuṃ;																	anāsan	a nt	5			
anāsava	pp		adj		na āsava	neg				free from the effluents; taint-less; undefiled	свободный от протечек; без пятен; не загрязненный		√su 1 a (to flow)		na + ā + √su > sav + *a	anāsrava	√sru				AN 3.24	bahukārasuttaṃ	puggalo āsavānaṃ khayā <b>anāsavaṃ</b> ceto-vimuttiṃ paññā-vimuttiṃ diṭṭh’eva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati				SN 36.5	daṭṭhabbasuttaṃ	“sa ve samm’addaso bhikkhu, parijānāti vedanā.<br/>so vedanā pariññāya, diṭṭhe dhamme <b>anāsavo</b>.<br/>kāyassa bhedā dhammaṭṭho, saṅkhyaṃ n’opeti vedagū”ti.											anāsav	a adj	5	11	268	
anāvattidhamma	p		adj	comp						not destined to return; lit. non-returning nature	кому предначертано не возвращаться; досл. природы не возвращаться				anāvatti + dhamma	na + āvartin + dhamma					MN 118	ānāpānassatisuttaṃ	santi, bhikkhave, bhikkhū imasmiṃ bhikkhusaṅghe pañcannaṃ oram'bhāgiyānaṃ saṃyojanānaṃ parikkhayā opapātikā tattha parinibbāyino <b>anāvattidhammā</b> tasmā lokā																	anāvattidhamm	a adj	5			
anāvaraṇa	p		adj		na āvāreti	neg	caus			not obstructive; not blocking; not impeding	не препятствующий; не затрудняющий; не задерживающий		√var 1 *e (cover, dress, restrain)		na + ā + √var + aṇa	āvaraṇa	√vṛ				SN 46.55	saṅgāravasuttaṃ	satt'ime, brāhmaṇa, bojjh'aṅgā <b>anāvaraṇā</b> anīvaraṇā cetaso anupakkilesā bhāvitā bahulīkatā vijjāvimutti-phalasacchikiriyāya saṃvattanti.																	anāvaraṇ	a adj	5			
anāvikatvā	p		abs	comp vb	na āvikaroti	neg		trans	+acc	having not explained; having not made clear; having not openly declared; having not revealed	не разъяснив; не объяснив; не заявив открыто; не обнаружив		√kar 7 o (to do, make)		na + āvi + √kar + tvā	na + āviṣkṛ	√kṛ				VIN PAT PA 1	methunadhamma sikkhāpada	yo pana bhikkhu, bhikkhūnaṃ sikkhā-sājīva-samāpanno, sikkhaṃ appaccakkhāya dubbalyaṃ <b>anāvikatvā</b>, methunaṃ dhammaṃ patiseveyya, antamaso tiracchānagatāya'pi, pārājiko hoti asaṃvāso.																	-		5			
anāvila 1	pp		adj			neg				(of water) tranquil; placid; glassy; smooth; lit. ripple-free	(о воде) спокойный; прозрачный; гладкий; досл. без ряби		√bil 1 a (to break into pieces)		na + ā + √bil > vil + a	anāvila	√bil				MN 39	mahāassapurasuttaṃ	seyyathā’pi pabbatasaṅkhepe udakarahado accho vippasanno <b>anāvilo</b>. tattha cakkhumā puriso tīre ṭhito passeyya sippi-sambukam’pi sakkharakathalam’pi macchagumbam’pi, carantam’pi tiṭṭhantam’pi.				DHP 082	paṇḍitavaggo	yathā'pi rahado gambhīro, vippasanno <b>anāvilo</b>,<br/>evaṃ dhammāni sutvāna, vippasīdanti paṇḍitā.											anāvil	a adj	5			
anāvila 2	p		adj			neg				(of mind) still; serene; tranquil; lit. ripple-free	(об уме) спокойный; безмятежный; неподвижный; досл. без ряби		√bil 1 a (to break into pieces)		na > an + ā + √bil > vil + a	anāvila	√bil				DHP 413	brāhmaṇavaggo	candaṃ'va vimalaṃ suddhaṃ, vippasannam'<b>anāvilaṃ</b>,<br/>nandībhavaparikkhīṇaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.																	anāvil	a adj	5			
anāhaṭa	p		adj	pp	na āharati	neg			+acc	(of food) not brought near; not taken to	(о еде) не принесенный (к); не взятый		√har 1 a (to carry)		na > an + ā + √har + ta	na + āhṛta	√hṛ				VIN PAT SK 41	anāhaṭa sikkhāpada	na <b>anāhaṭe</b> kabaḷe mukhadvāraṃ vivarissāmī'ti sikkhā karaṇīyā.																	anāhaṭ	a adj	5			
anāhāra	p		adj		na āharati	neg				without fuel; without nutriment; lit. without food	без топлива; без питания; досл. без еды		√har 1 a (to carry, take)		na + ā + √har + *a	anāhāra	√hṛ				AN 10.61	avijjāsuttaṃ	“avijjam’p’āhaṃ sāhāraṃ vadāmi, no <b>anāhāraṃ</b>. ko c’āhāro avijjāya? ‘pañca nīvaraṇā’ti’ssa vacanīyaṃ.																	anāhār	a adj	5			
anāḷhika	p		adj		na āḷha	neg				poor; impoverished; not rich	бедный; нищий; небогатый				na + āḷha + ika<br/>anāḷha + ika	na + āḍhya				(BD) āḷhaka – measure of rise, anāḷhika – who does not posses even a single measure of rise	AN 6.57	chaḷabhijātisuttaṃ	seyyathā'pi, ānanda, puriso daliddo assako <b>anāḷhiko</b>, tassa akāmakassa bilaṃ olaggeyyuṃ, idaṃ te, ambho purisa, maṃsañ'ca khāditabbaṃ, mūlañ'ca anuppadātabban'ti.																	anāḷhik	a adj	5			
anikīḷitāvī	p		adj	app	nikkīḷati				+loc	who has not finished having fun (with); who has not fulfilled one's desires (for); who has not finished dabbling (in)	кто не закончил развлекаться (с); кто не исполнил свои желания; кто не закончил баловаться (с)		√kīḷ 1 a (to play)		na + ni + √kīḷ + [i] + tāvī	na + nikrīḍ	√krīḍ	anikkīḷitāvī, anikīlitāvī	(SNa) anikīḷitāvino kāmesū’ti yā kāmesu kāmakīḷā, taṃ akīḷitapubbā, aparibhuttakāmā’ti attho.		SN 35.127	bhāradvājasuttaṃ	paṭhamena vayasā <b>anikīḷitāvino</b> kāmesu yāvajīvaṃ paripuṇṇaṃ parisuddhaṃ brahmacariyaṃ caranti, addhānañ’ca āpādentī”ti?																	anikīḷitāv	ī adj	5			
aniketa	p		adj		na keta	neg				homeless	бездомный		√kit 1 a (to live)		na + ni + √kit > ket + *a	aniketa	√kit				SNP 47	māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9	okaṃ pahāya <b>aniketa</b>-sārī, gāme akubbaṃ muni santhavāni, <br/>kāmehi ritto apurekkharāno, kathaṃ na viggayha janena kayirā.																	aniket	a adj	5			
aniketasārī	pp		adj	comp						not settled in a home; wandering homeless; roaming without an abode	не осевший в доме; странствующий без обиталища; блуждающий без жилья				aniketa + sārī	aniketa + sārin					SNP 47	māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9	okaṃ pahāya <b>aniketasārī</b>, gāme akubbaṃ muni santhavāni, <br/>kāmehi ritto apurekkharāno, kathaṃ na viggayha janena kayirā.				SN 22.3	hāliddikānisuttaṃ	tathāgatassa pahīnā ucchinnamūlā tāl’āvatthukatā anabhāvaṃkatā āyatiṃ anuppādadhammā. tasmā tathāgato ‘<b>aniketasārī</b>’ti vuccati											aniketasār	ī adj	5			
anikkasāva	p		adj	comp		neg x2				impure; corrupt; filthy; unstainless; lit. not without impurity	нечистый; испорченный; грязный; не безупречный; досл. не без загрязненности				na > a + ni + kasāva	aniṣkaṣāya					DHP 009	yamakavaggo	<b>anikkasāvo</b> kāsāvaṃ, yo vatthaṃ paridahissati,<br/>apeto damasaccena, na so kāsāvam'arahati.																	anikkasāv	a adj	5			
anikkīḷitāvī	p		adj	app	nikkīḷati	neg			+loc	who has not finished having fun (with); who has not fulfilled one's desires (for); who has not finished dabbling (in)	кто не закончил развлекаться (с); кто не исполнил свои желания; кто не закончил баловаться (с)		√kīḷ 1 a (to play)		na > a + ni + √kīḷ + itāvī	na + nikrīḍ	√krīḍ	anikīḷitāvī, anikkīlitāvī	(SNa) anikkīḷitāvī kāmesū'ti kāmesu akīḷitakīḷo abhuttāvī, akatakāmakīḷo'ti attho.	(MW) nikrīḍ to cease or finish playing	SN 1.20	samiddhisuttaṃ	daharo tvaṃ bhikkhu, pabbajito susu kāḷakeso, bhadrena yobbanena samannāgato, paṭhamena vayasā, <b>anikkīḷitāvī</b> kāmesu.																	anikkīḷitāv	ī adj	5			
anikkhanta	p		adj	pp	na nikkhamati	neg				not departed; not left; not gone out	не ушедший; не вышедший; не покинувший		√kam 1 a (to go)		na + nī + √kam > kham + ta	na + niṣkrānta	√kram				VIN PAT PC 83	antepura sikkhāpada	yo pana bhikkhu rañño, khattiyassa muddh’ābhisittassa, <b>anikkhanta</b>-rājake aniggataratanake, pubbe appaṭisaṃvidito, indakhīlaṃ atikkāmeyya, pācittiyaṃ.																	anikkhant	a adj	5			
anikkhantarājaka	p		adj	comp	nikkhantarāja	neg				from which the king has not departed	из которого король не ушел				na + nikkhanta + rājā + ka<br/>anikkhantarāja + ka	na + niṣkrānta + rājaka			(VIN 2.1.83) anikkhantarājake'ti rājā sayanigharā anikkhanto hoti.<br/>(VINa) anikkhanto rājā ito'ti anikkhantarājakaṃ, tasmiṃ anikkhantarājake, sayanighare'ti attho.		VIN PAT PC 83	antepura sikkhāpada	yo pana bhikkhu rañño, khattiyassa muddh’ābhisittassa, <b>anikkhantarājake</b> aniggataratanake, pubbe appaṭisaṃvidito, indakhīlaṃ atikkāmeyya, pācittiyaṃ.																	anikkhantarājak	a adj	5			
anikkhittadhura	p		adj	comp		neg				taking responsibility; not shirking one's duty; lit. not putting down the yoke pole	берущий ответственность; не уклоняющийся от обязанностей				na + nikkhitta + dhuraṃ	na + nikṣipta + dhura					AN 7.67	nagaropamasuttaṃ	“seyyathā’pi rañño paccantime nagare bahu-balakāyo paṭivasati, evam’evaṃ kho ariyasāvako āraddhavīriyo viharati, thāmavā daḷhaparakkamo <b>anikkhittadhuro</b> kusalesu dhammesu.																	anikkhittadhur	a adj	5			
aniggata	p		adj	pp	niggacchati				+abl	not gone out (from); not left (from); not departed (from)	не ушедший; не вышедший; не покинувший		√gam 1 a (to go)		na + nī + √gam + ta	na + nirgata	√gam	anībhata			VIN PAT PC 83	antepura sikkhāpada	yo pana bhikkhu rañño, khattiyassa muddh’ābhisittassa, anikkhantarājake <b>aniggata</b>-ratanake, pubbe appaṭisaṃvidito, indakhīlaṃ atikkāmeyya, pācittiyaṃ.																	aniggat	a adj	5			
aniggataratanaka	p		adj	comp	niggataratana					from which the queen has not departed	из которого королева не ушла				na + niggata + ratana + ka<br/>aniggataratana + ka	na + nirgata + ratna + ka		anībhataratanaka	(VIN 2.1.83) aniggataratanake'ti mahesī sayanigharā anikkhantā hoti, ubho vā anikkhantā honti.<br/>(VINa) aniggataṃ ratanaṃ ito'ti aniggataratanakaṃ, tasmiṃ aniggataratanake, sayanighare'ti attho.		VIN PAT PC 83	antepura sikkhāpada	yo pana bhikkhu rañño, khattiyassa muddh’ābhisittassa, anikkhantarājake <b>aniggataratanake</b>, pubbe appaṭisaṃvidito, indakhīlaṃ atikkāmeyya, pācittiyaṃ.																	aniggataratanak	a adj	5			
anigha	p		adj		īgha	neg				untroubled; undisturbed; calm; lit. free from trembling	не обеспокоенный; не потревоженный; досл. свободный от колебаний				na > an + īgha	na + ṛghā (violence)		anīgha	(SNPa) īgh'ābhāvato anīgho.		SN 1.20	samiddhisuttaṃ	taṃ chinnaganthaṃ <b>anighaṃ</b> nirāsaṃ, <br/>pariyesamānā n'ājjhagamuṃ.<br/>devā manussā idha vā huraṃ vā, <br/>saggesu vā sabbanivesanesu.																	anigh	a adj	5			
aniccatā	p		fem	abstr	na anicca	neg				fact of impermanence; state of instability; state of unreliability	непостоянство; состояние нестабильности; состояние ненадежности				na > an + nicca + tā<br/>anicca + tā	anityatā					MN 137	saḷāyatanavibhaṅgasuttaṃ	rūpānaṃ tv’eva <b>aniccataṃ</b> viditvā vipariṇāmavirāganirodhaṃ																	aniccat	ā fem	5			
aniccato	pp		ind	adv, abl sg	na anicca	neg				as impermanent; as unstable; as transient; as unreliable	как непостоянный; как неустойчивый; как преходящий; как ненадежный				na + nicca + to	anitya +			(MNa) aniccato'ti na niccato		AN 4.49	vipallāsasuttaṃ	aniccaṃ <b>aniccato</b> dakkhuṃ, dukkham’addakkhu dukkhato.<br/>anattani ‘anattā’ti, asubhaṃ asubhat’addasuṃ.<br/>sammādiṭṭhi-samādānā, sabbaṃ dukkhaṃ upaccagun’ti				SN 36.5	daṭṭhabbasuttaṃ	yo sukhaṃ dukkhato adda, dukkham’addakkhi sallato.<br/> adukkham’asukhaṃ santaṃ, addakkhi naṃ <b>aniccato</b>.											-		5			
aniccadassāvī	p		adj	comp					+gen	who seldom sees; who rarely gets to see	кто редко видит; кто редко получает возможность лицезреть				anicca + dassāvī	anitya + darśivas			(SNa) aniccadassāvī'ti tāya āturatāya icchit'icchitakkhaṇe āgantuṃ asakkonto kadāci'd'eva daṭṭhuṃ labhāmi, na sabbakālan'ti attho		SN 22.1	nakulapitusuttaṃ	<b>aniccadassāvī</b> kho pan'āhaṃ, bhante, bhagavato manobhāvanīyānañ'ca bhikkhūnaṃ.																	aniccadassāv	ī adj	5			
aniccasaññā	ps		fem	comp						recognition of impermanence; perception of instability	распознавание непостоянства; восприятие отсутствия стабильности				anicca + saññā	anitya + saṃjñā					AN 10.60	girimānandasuttaṃ	iti imesu pañcasu upādānakkhandhesu anicc’ānupassī viharati. ayaṃ vuccat’ānanda, <b>aniccasaññā</b>.				AN 7.27	saññāsuttaṃ	yāvakīvañ'ca, bhikkhave, bhikkhū <b>aniccasaññaṃ</b> bhāvessanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	aniccasaññ	ā fem	5			
aniccasaññāparicita	p		adj	comp					+loc	which has frequently practised perception of instability (in)	который часто практиковал восприятие нестабильности (в)				aniccasaññā + paricita	anitya + saṃjñā + paricita					AN 7.49	dutiyasaññāsuttaṃ	evam'evaṃ kho, bhikkhave, bhikkhuno <b>aniccasaññāparicitena</b> cetasā bahulaṃ viharato lābhasakkārasiloke cittaṃ patilīyati patikuṭati pativattati, na sampasāriyati upekkhā vā pāṭikulyatā vā saṇṭhāti.																	aniccasaññāparicit	a adj	5			
aniccasaññābhāvanānuyogamanuyutta	p		adj	comp						devoted to the development of the recognition of impermanence; engaged in the cultivation of the perception of instability	посвятивший себя развитию осознания непостоянства; занимающийся взращиванием восприятия нестабильности				anicca + saññā + bhāvanā + anuyogaṃ + anuyutta	anitya + saṃjñā + bhāvanā + anuyoga + anuyukta			(MNa) aniccasaññābhāvan'ānuyogan'ti ettha saññāsīsena vipassanā kathitā.		MN 118	ānāpānassatisuttaṃ	santi, bhikkhave, bhikkhū imasmiṃ bhikkhusaṅghe <b>aniccasaññābhāvan'ānuyogam'anuyuttā</b> viharanti, evarūpā'pi, bhikkhave, santi bhikkhū imasmiṃ bhikkhusaṅghe.																	aniccasaññābhāvanānuyogamanuyutt	a adj	5			
anicca 1	ps	6	adj		na nicca	neg				impermanent; unstable; unreliable	непостоянный; нестабильный; ненадежный				na + nicca	anitya					DHP 277	maggavaggo	“sabbe saṅkhārā <b>aniccā</b>”ti, yadā paññāya passati. <br/>atha nibbindati dukkhe, esa maggo visuddhiyā.										SN 22.59	anattalakkhaṇasuttaṃ	“taṃ kiṃ maññatha, bhikkhave, rūpaṃ niccaṃ vā <b>aniccaṃ</b> vā”ti? “<b>aniccaṃ</b>, bhante”.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	38n	anicc	a adj	5	11	1133	[sound:anicca.mp3]
anicca 2	p		adj	in comps	ni	neg				rare; irregular; unusual	редкий; нерегулярный; необычный				na > a + ni + tya	anitya			(SNa) aniccadassāvī'ti tāya āturatāya icchit'icchitakkhaṇe āgantuṃ asakkonto kadāci'd'eva daṭṭhuṃ labhāmi, na sabbakālan'ti attho		SN 22.1	nakulapitusuttaṃ	<b>anicca</b>-dassāvī kho pan'āhaṃ, bhante, bhagavato manobhāvanīyānañ'ca bhikkhūnaṃ.																	anicc	a adj	5	11	1133	
aniccādisabhāva	p		masc	comp						nature of impermanence etc.; characteristic of instability etc.	природа непостоянства и т.д.; характеристика нестабильности и т.д.				anicca + ādi + sabhāva						UDa 1.10	bāhiyasuttaṃ vaṇṇanā	yathā hi cakkhuviññāṇaṃ rūpe rūpamattam’eva passati, na <b>anicc’ādisabhāvaṃ</b>, evam’eva sesaṃ.																	aniccādisabhāv	a masc	5			
aniccānupassī	ps	5	adj	comp						observing impermanence; watching instability	наблюдающий ненадежность; созерцающий непостоянство				anicca + anupassī	anitya + anupaśyin					AN 10.60	girimānandasuttaṃ	iti imesu pañcasu upādānakkhandhesu <b>anicc’ānupassī</b> viharati. ayaṃ vuccat’ānanda, aniccasaññā.										MN 118	ānāpānassatisuttaṃ	<b>anicc'ānupassī</b> assasissāmī’ti sikkhati, <b>anicc'ānupassī</b> passasissāmī’ti sikkhati	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	aniccānupass	ī adj	5			
aniccucchādanaparimaddanabhedanaviddhaṃsanadhamma	p		adj	comp						subject to instability abrasion; erosion; breakage and falling apart; nature of impermanence; rubbing away; crushing; injury and destruction	подверженный нестабильности; истиранию; эрозии; поломке и распаду; природы непостоянства; истирания крушения; повреждения и разрушения				anicca + ucchādana + parimaddana + bhedana + viddhaṃsana + dhamma	anitya + ucchādana + parimardana + bhedana + vidhvaṃsa + dharma					SN 35.103	udakasuttaṃ	gaṇḍo’ti kho, bhikkhave, imass’etaṃ cātumahābhūtikassa kāyassa adhivacanaṃ mātāpettika-sambhavassa odana-kummās’ūpacayassa <b>anicc’ucchādana-parimaddana-bhedana-viddhaṃsana-dhammassa.</b>																	aniccucchādanaparimaddanabhedanaviddhaṃsanadhamm	a adj	5			
